Species	001-00-54-1A_CP05063_L001_taxonomic	001-00-54-2A_CP05063_L001_taxonomic	001-0001-1_CP05063_L001_taxonomic	001-0002-1_CP05063_L001_taxonomic	001-0003-1_CP05063_L001_taxonomic	001-0006-1_CP05063_L001_taxonomic	001-0007-1_CP05063_L001_taxonomic	001-0009-1_CP05063_L001_taxonomic	001-0010-1_CP05063_L001_taxonomic	001-0012-1_CP05063_L001_taxonomic	001-0013-1_CP05063_L001_taxonomic	001-0014-1_CP05063_L001_taxonomic	001-0015-1_CP05063_L001_taxonomic	001-0016-1_CP05063_L001_taxonomic	001-0017-1_CP05063_L001_taxonomic	001-0018-1A_CP05063_L001_taxonomic	001-0018-2A_CP05063_L001_taxonomic	001-0018-3A_CP05063_L001_taxonomic	001-0019-1A_CP05063_L001_taxonomic	001-0019-2A_CP05063_L001_taxonomic	001-0019-3A_CP05063_L001_taxonomic	001-0020-1A_CP05063_L001_taxonomic	001-0020-2A_CP05063_L001_taxonomic	001-0020-3A_CP05063_L001_taxonomic	001-0021-1A_CP05063_L001_taxonomic	001-0021-2A_CP05063_L001_taxonomic	001-0021-3A_CP05063_L001_taxonomic	001-0025-1A_CP05063_L001_taxonomic	001-0025-2A_CP05063_L001_taxonomic	001-0025-3A_CP05063_L001_taxonomic	001-0026-1A_CP05063_L001_taxonomic	001-0026-2A_CP05063_L001_taxonomic	001-0026-3A_CP05063_L001_taxonomic	001-0027-1A_CP05063_L001_taxonomic	001-0027-2A_CP05063_L001_taxonomic	001-0027-3A_CP05063_L001_taxonomic	001-0030-1A_CP05063_L001_taxonomic	001-0031-1A_CP05063_L001_taxonomic	001-0031-2A_CP05063_L001_taxonomic	001-0031-3A_CP05063_L001_taxonomic	001-0032-1A_CP05063_L001_taxonomic	001-0032-2A_CP05063_L001_taxonomic	001-0032-3A_CP05063_L001_taxonomic	001-0033-1A_CP05063_L001_taxonomic	001-0033-2A_CP05063_L001_taxonomic	001-0033-3A_CP05063_L001_taxonomic	001-0034-1A_CP05063_L001_taxonomic	001-0034-2A_CP05063_L001_taxonomic	001-0034-3A_CP05063_L001_taxonomic	001-0035-1A_CP05063_L001_taxonomic	001-0035-2A_CP05063_L001_taxonomic	001-0035-3A_CP05063_L001_taxonomic	001-0036-1A_CP05063_L001_taxonomic	001-0037-1A_CP05063_L001_taxonomic	001-0040-1A_CP05063_L001_taxonomic	001-0040-2A_CP05063_L001_taxonomic	001-0040-3A_CP05063_L001_taxonomic	001-0041-1A_CP05063_L001_taxonomic	001-0041-2A_CP05063_L001_taxonomic	001-0041-3A_CP05063_L001_taxonomic	001-0042-1A_CP05063_L001_taxonomic	001-0042-2A_CP05063_L001_taxonomic	001-0042-3A_CP05063_L001_taxonomic	001-0043-1A_CP05063_L001_taxonomic	001-0043-2A_CP05063_L001_taxonomic	001-0043-3A_CP05063_L001_taxonomic	001-0044-1A_CP05063_L001_taxonomic	001-0044-2A_CP05063_L001_taxonomic	001-0044-3A_CP05063_L001_taxonomic	001-0045-1A_CP05063_L001_taxonomic	001-0045-2A_CP05063_L001_taxonomic	001-0045-3A_CP05063_L001_taxonomic	001-0046-1A_CP05063_L001_taxonomic	001-0046-2A_CP05063_L001_taxonomic	001-0046-3A_CP05063_L001_taxonomic	001-0047-1A_CP05063_L001_taxonomic	001-0047-2A_CP05063_L001_taxonomic	001-0048-1A_CP05063_L001_taxonomic	001-0048-2A_CP05063_L001_taxonomic	001-0049-1A_CP05063_L001_taxonomic	001-0049-2A_CP05063_L001_taxonomic	001-0050-1A_CP05063_L001_taxonomic	001-0050-3A_CP05063_L001_taxonomic	kingdom	phylum	class	order	family	genus	species	strain
Veillonella_parvula	0.23071	0.0	0.0	0.01813	0.0	0.0	0.0	0.03056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03938	0.06215	0.08547	0.0	0.04172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.01767	0.00379	0.00559	0.00296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08028	0.01005	0.0122	0.0	0.0	0.01717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00657	0.0	0.0	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_parvula	
Clostridiales_bacterium	0.23057	0.16158	0.17939	0.12843	0.0	0.00418	0.0	0.00313	0.0	0.0	0.0	0.00899	0.0	0.00288	0.0	0.05474	0.0	0.00738	0.0	0.0	0.0	0.04588	0.09215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12623	0.03929	0.04101	0.0	0.24194	0.00623	0.00991	0.00513	0.05523	0.02815	0.00517	0.03038	0.0	0.0	0.04091	0.02911	0.0	0.0	0.0	0.0	0.0	0.04585	0.00441	0.0	0.0	0.00988	0.04558	0.0	0.0	0.0	0.0	0.0	0.0	0.0141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05642	0.0	0.15868	0.10571	0.0	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_unclassified	Eubacteriales_unclassified	Clostridiales_bacterium	
Lachnospira_eligens	0.17159	0.0	0.0	0.0	0.05551	0.0	0.0	0.03466	0.04276	0.53397	0.0037	0.03494	0.0	0.00405	0.00016	0.03175	0.03391	0.00898	0.16567	0.1345	0.20383	0.0	0.0	0.0	0.23963	0.27706	0.14487	0.02898	0.0	0.0	0.0	0.0	0.02809	0.00771	0.08404	0.00071	0.00206	0.2974	0.37758	0.02837	0.00973	0.0	0.0	0.0	0.00751	0.0	0.0	0.0	0.0	0.01175	0.02028	0.00618	0.00739	0.0	0.0	0.02879	0.00057	0.46163	0.6998	0.13612	0.0149	0.00513	0.00452	0.00049	0.00392	0.01328	0.00018	0.00905	0.00249	0.00481	0.01363	0.00743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01353	0.0	1.04292	0.17839	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira	Lachnospira_eligens	
Vescimonas_coprocola	0.16742	0.08063	0.0	0.0	0.0	0.57038	0.05779	0.0	0.0	0.0	0.0676	0.14246	0.0	0.0	0.0	1.3016	1.16514	0.51862	0.01888	0.0	0.0	0.0	0.0	0.0	0.53986	0.22069	0.57177	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24392	0.27479	0.25053	0.05472	0.0059	0.04353	0.00882	0.06027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52022	0.32191	0.17376	0.0702	0.09752	0.00168	0.05035	0.03169	0.0	0.04034	0.0	0.00874	0.30282	0.27176	0.08084	0.0	0.00596	0.00416	0.01002	0.0	0.0193	0.0	0.03376	0.27877	0.21428	0.02122	0.47398	0.00145	0.0	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Vescimonas	Vescimonas_coprocola	
Flavonifractor_plautii	0.1662	0.63818	0.18728	0.21172	0.0	0.01843	0.03241	0.03267	0.06515	0.33303	0.07696	0.07597	0.0183	0.04587	0.0	0.26211	0.10455	0.00169	0.02697	0.0	0.0	0.13546	0.00797	0.17652	0.0	0.0	0.0	0.0	0.0	0.0	0.00674	0.02451	0.15294	0.22826	0.32997	0.08391	0.34267	0.02839	0.03745	0.10926	0.05845	0.08514	0.02222	0.09118	0.07052	0.0	0.31682	0.0782	0.0	0.0	0.00822	0.0	0.00801	0.1994	0.1148	0.09175	0.06103	0.0242	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03097	0.00379	0.00511	0.0	0.0	0.0	0.0	0.0	0.04918	0.0	0.0	0.00197	0.10726	0.00233	0.84567	0.10946	0.04571	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor_plautii	
GGB79734_SGB15291	0.16423	0.12713	0.0	0.0	0.0	0.0	0.09975	0.01576	0.10089	0.0	0.0	0.0	0.0	0.0	0.0	0.13414	0.37758	0.27324	0.12487	0.18011	0.50349	0.0	0.0	0.0	0.16366	0.18443	0.11361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30913	0.97162	0.23063	0.14217	0.45412	0.35129	0.07599	0.0921	0.17815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0942	0.16791	0.13491	0.21215	0.12347	0.47626	0.11058	0.18436	0.16044	0.38329	0.07683	0.23527	0.07355	0.04195	0.0	0.07483	0.03471	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	GGB79734	GGB79734_SGB15291	
Bacteroides_fragilis	0.15794	0.01402	0.0	0.0	0.90439	0.5907	0.24797	0.0	0.0	0.25702	0.0	0.01025	0.05931	0.54018	0.08391	0.0	0.0	0.0	3.45487	0.16298	0.96104	0.0	0.0	0.0	0.00459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06955	0.00075	0.0	0.01533	0.00378	0.01565	0.32847	0.72587	0.10586	0.15854	0.00046	0.0075	0.0	0.00779	0.0	0.0	0.0	0.00504	0.31829	7.69819	0.0	0.0	0.0	0.02925	0.00035	0.0	0.0	0.0	0.0	0.01852	0.0	0.39283	0.81392	0.10826	0.20882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36594	0.02364	2.34391	0.11164	0.18895	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis	
Streptococcus_thermophilus	0.14462	0.0	0.01822	0.0	5.59091	0.39085	0.03865	0.00811	0.23128	1.07298	0.07919	0.0	0.00274	0.01622	0.0	1.33514	1.00194	1.72163	1.55589	0.03976	0.20021	0.04987	0.0	0.0	0.0	0.0	0.00234	0.0	0.0	0.0	1.36334	0.53889	0.0	0.08911	0.0	0.31991	1.14324	0.0	0.0	0.21642	0.0	0.0	0.03422	0.02994	0.20665	0.0	1.31982	0.07347	0.52889	0.27446	0.04335	0.42806	0.00832	0.06722	0.0	0.0	0.07938	0.0	0.01668	0.09544	0.03672	0.08841	0.0	0.0	0.2371	0.0283	0.38256	0.0	0.35567	1.25972	4.57211	0.87044	0.41396	0.57147	0.0	0.0	0.12056	1.75084	0.0	0.0	0.01612	0.0	0.07848	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	
Ruminococcus_gnavus	0.1338	0.09646	0.10588	0.08289	0.00553	0.3237	0.1142	0.00982	0.0044	6.1609	0.01248	0.52668	0.02464	1.23331	0.05955	0.12291	0.10444	0.09231	0.04249	0.00372	0.0	8.05767	8.74219	7.13953	0.0	0.0	0.0	0.0	0.20746	0.00776	0.07479	0.14082	0.04998	0.16039	0.20531	0.92289	0.11781	0.0	0.0	0.00245	0.00025	0.01175	0.00969	0.32111	0.08988	0.07496	0.00735	0.0	0.0	0.0	0.0	0.01506	0.18056	0.0	0.0	0.0	0.05517	0.00321	0.01735	0.06448	0.0	0.0	0.0	0.0	0.0	0.0	0.16074	0.01447	0.14318	0.02602	0.02547	0.00208	0.0	0.0045	0.0	0.0	0.0	0.09317	2.7853	0.06411	1.94162	0.07435	0.26038	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	Ruminococcus_gnavus	
Clostridium_sp_1001270J_160509_D11	0.10668	0.0	0.0	0.0	0.0	0.0	0.0	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06508	0.12275	0.18309	0.06856	0.09128	0.0	0.0	0.0	0.0	0.0	0.0229	0.00799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09611	0.03851	0.28639	0.03765	0.02663	0.01637	0.23593	0.0	0.42367	0.0	0.0	0.0	0.0	0.0	0.00165	0.0	0.0	0.0	0.0	0.0	0.00036	0.00931	0.03001	0.0	0.0	0.0	0.01732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00552	0.0	0.04578	0.01252	0.0	0.0	0.0	0.04375	0.0	0.0	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_1001270J_160509_D11	
